# truecount	recall	nodecounts	precision	adjaccuracy	truenodecounts	f1score	accuracy
1.700000000000000000e+02 1.000000000000000000e+00 9.300000000000000000e+01 3.010981225646475537e-02 3.010981225646475537e-02 8.700000000000000000e+01 5.845942228335625906e-02 3.010981225646475537e-02
2.300000000000000000e+02 1.000000000000000000e+00 9.300000000000000000e+01 2.616312137413263558e-02 2.616312137413263558e-02 9.300000000000000000e+01 5.099212947566788418e-02 2.616312137413263558e-02
1.530000000000000000e+02 1.000000000000000000e+00 9.300000000000000000e+01 3.806917143568051831e-02 3.806917143568051831e-02 8.600000000000000000e+01 7.334611697027804134e-02 3.806917143568051831e-02
6.560000000000000000e+02 1.000000000000000000e+00 9.300000000000000000e+01 4.137235116044399308e-02 4.137235116044399308e-02 8.300000000000000000e+01 7.945736434108527368e-02 4.137235116044399308e-02
2.110000000000000000e+02 1.000000000000000000e+00 9.300000000000000000e+01 2.216386554621848845e-02 2.216386554621848845e-02 7.800000000000000000e+01 4.336656047682663911e-02 2.216386554621848845e-02
2.550000000000000000e+02 1.000000000000000000e+00 9.300000000000000000e+01 2.186401440452713854e-02 2.186401440452713854e-02 1.010000000000000000e+02 4.279241483470380691e-02 2.186401440452713854e-02
8.090000000000000000e+02 1.000000000000000000e+00 9.300000000000000000e+01 6.223555658127548351e-02 6.223555658127548351e-02 1.010000000000000000e+02 1.171784472769409058e-01 6.223555658127548351e-02
1.730000000000000000e+02 1.000000000000000000e+00 9.300000000000000000e+01 1.318497065772425945e-02 1.318497065772425945e-02 8.400000000000000000e+01 2.602677899804423101e-02 1.318497065772425945e-02
5.280000000000000000e+02 1.000000000000000000e+00 9.300000000000000000e+01 3.322217328383565010e-02 3.322217328383565010e-02 8.900000000000000000e+01 6.430789842275135004e-02 3.322217328383565010e-02
3.660000000000000000e+02 1.000000000000000000e+00 9.300000000000000000e+01 4.501845018450184588e-02 4.501845018450184588e-02 1.040000000000000000e+02 8.615819209039547732e-02 4.501845018450184588e-02
1.105000000000000000e+03 1.000000000000000000e+00 9.300000000000000000e+01 7.433068747477465654e-02 7.433068747477465654e-02 1.130000000000000000e+02 1.383758061486444202e-01 7.433068747477465654e-02
4.100000000000000000e+02 1.000000000000000000e+00 9.300000000000000000e+01 2.420449849459826303e-02 2.420449849459826303e-02 1.200000000000000000e+02 4.726497204449824074e-02 2.420449849459826303e-02
2.450000000000000000e+02 1.000000000000000000e+00 9.300000000000000000e+01 1.981559365901002998e-02 1.981559365901002998e-02 5.700000000000000000e+01 3.886113093821873254e-02 1.981559365901002998e-02
1.206000000000000000e+03 1.000000000000000000e+00 9.300000000000000000e+01 7.888540031397174579e-02 7.888540031397174579e-02 1.160000000000000000e+02 1.462349945434703591e-01 7.888540031397174579e-02
1.077000000000000000e+03 1.000000000000000000e+00 9.300000000000000000e+01 8.224513172966781138e-02 8.224513172966781138e-02 1.150000000000000000e+02 1.519898391193903464e-01 8.224513172966781138e-02
