# truecount	recall	nodecounts	precision	adjaccuracy	truenodecounts	f1score	accuracy
1.700000000000000000e+02 4.117647058823529216e-01 9.300000000000000000e+01 4.964539007092198530e-01 1.239815798795607452e-02 8.700000000000000000e+01 4.501607717041800627e-01 1.239815798795607452e-02
2.300000000000000000e+02 5.086956521739129933e-01 9.300000000000000000e+01 4.957627118644067910e-01 1.330906609031964546e-02 9.300000000000000000e+01 5.021459227467811592e-01 1.330906609031964546e-02
1.530000000000000000e+02 6.143790849673202992e-01 9.300000000000000000e+01 6.394557823129252139e-01 2.338890271211744101e-02 8.600000000000000000e+01 6.266666666666667052e-01 2.338890271211744101e-02
6.560000000000000000e+02 3.750000000000000000e-01 9.300000000000000000e+01 4.598130841121495505e-01 1.551463168516649914e-02 8.300000000000000000e+01 4.130982367758186391e-01 1.551463168516649914e-02
2.110000000000000000e+02 3.270142180094786633e-01 9.300000000000000000e+01 9.078947368421053099e-01 7.247899159663865817e-03 7.800000000000000000e+01 4.808362369337979003e-01 7.247899159663865817e-03
2.550000000000000000e+02 5.764705882352940680e-01 9.300000000000000000e+01 9.735099337748344128e-01 1.260396124496270323e-02 1.010000000000000000e+02 7.241379310344827624e-01 1.260396124496270323e-02
8.090000000000000000e+02 4.697156983930778629e-01 9.300000000000000000e+01 5.766312594840667938e-01 2.923301792445572728e-02 1.010000000000000000e+02 5.177111716621253246e-01 2.923301792445572728e-02
1.730000000000000000e+02 3.641618497109826436e-01 9.300000000000000000e+01 7.777777777777777901e-01 4.801463303101897485e-03 8.400000000000000000e+01 4.960629921259842590e-01 4.801463303101897485e-03
5.280000000000000000e+02 1.363636363636363535e-01 9.300000000000000000e+01 3.582089552238805763e-01 4.530296356886679560e-03 8.900000000000000000e+01 1.975308641975308532e-01 4.530296356886679560e-03
3.660000000000000000e+02 4.098360655737705027e-01 9.300000000000000000e+01 4.398826979472140741e-01 1.845018450184501835e-02 1.040000000000000000e+02 4.243281471004243244e-01 1.845018450184501835e-02
1.105000000000000000e+03 5.529411764705882693e-01 9.300000000000000000e+01 6.055500495540139250e-01 4.110049778016951205e-02 1.130000000000000000e+02 5.780510879848628214e-01 4.110049778016951205e-02
4.100000000000000000e+02 1.829268292682926789e-01 9.300000000000000000e+01 1.000000000000000000e+00 4.427652163646023618e-03 1.200000000000000000e+02 3.092783505154639290e-01 4.427652163646023618e-03
2.450000000000000000e+02 3.346938775510204245e-01 9.300000000000000000e+01 3.612334801762114300e-01 6.632157877709479385e-03 5.700000000000000000e+01 3.474576271186440857e-01 6.632157877709479385e-03
1.206000000000000000e+03 6.484245439469320527e-01 9.300000000000000000e+01 5.453277545327754883e-01 5.115122972265829376e-02 1.160000000000000000e+02 5.924242424242424088e-01 5.115122972265829376e-02
1.077000000000000000e+03 4.679665738161559729e-01 9.300000000000000000e+01 6.657859973579920432e-01 3.848797250859106733e-02 1.150000000000000000e+02 5.496183206106870500e-01 3.848797250859106733e-02
1.536000000000000000e+03 4.570312500000000000e-01 9.300000000000000000e+01 7.358490566037735325e-01 3.582180946063173027e-02 1.620000000000000000e+02 5.638554216867469604e-01 3.582180946063173027e-02
1.183000000000000000e+03 4.285714285714285476e-01 9.300000000000000000e+01 3.472602739726027288e-01 2.210306042375097951e-02 1.330000000000000000e+02 3.836549375709421006e-01 2.210306042375097951e-02
2.653000000000000000e+03 7.889182058047493618e-01 9.300000000000000000e+01 8.532409294741133410e-01 9.726740403383214717e-02 1.380000000000000000e+02 8.198198198198197728e-01 9.726740403383214717e-02
1.601000000000000000e+03 5.852592129918801067e-01 9.300000000000000000e+01 7.372147915027537080e-01 5.760481986966679152e-02 1.460000000000000000e+02 6.525069637883008644e-01 5.760481986966679152e-02
