# truecount	recall	nodecounts	precision	adjaccuracy	truenodecounts	f1score	accuracy
2.100000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 2.226935312831389291e-02 2.226935312831389291e-02 8.700000000000000000e+01 4.356846473029045430e-02 2.226935312831389291e-02
2.600000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 2.056962025316455556e-02 2.056962025316455556e-02 9.300000000000000000e+01 4.031007751937984440e-02 2.056962025316455556e-02
2.300000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 4.078014184397163455e-02 4.078014184397163455e-02 8.600000000000000000e+01 7.836456558773424730e-02 4.078014184397163455e-02
6.500000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 2.888888888888888756e-02 2.888888888888888756e-02 8.300000000000000000e+01 5.615550755939524574e-02 2.888888888888888756e-02
3.100000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 2.418096723868954842e-02 2.418096723868954842e-02 7.800000000000000000e+01 4.722010662604721881e-02 2.418096723868954842e-02
2.500000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 1.906941266209000868e-02 1.906941266209000868e-02 1.010000000000000000e+02 3.742514970059879903e-02 1.906941266209000868e-02
8.900000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 4.818624796968056651e-02 4.818624796968056651e-02 1.010000000000000000e+02 9.194214876033057759e-02 4.818624796968056651e-02
1.000000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 7.800312012480499491e-03 7.800312012480499491e-03 8.400000000000000000e+01 1.547987616099071213e-02 7.800312012480499491e-03
4.400000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 2.571595558153126973e-02 2.571595558153126973e-02 8.900000000000000000e+01 5.014245014245014009e-02 2.571595558153126973e-02
4.900000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 4.861111111111111188e-02 4.861111111111111188e-02 1.040000000000000000e+02 9.271523178807947185e-02 4.861111111111111188e-02
1.250000000000000000e+02 1.000000000000000000e+00 9.300000000000000000e+01 5.112474437627811952e-02 5.112474437627811952e-02 1.130000000000000000e+02 9.727626459143969007e-02 5.112474437627811952e-02
3.100000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 1.932668329177057373e-02 1.932668329177057373e-02 1.200000000000000000e+02 3.792048929663608542e-02 1.932668329177057373e-02
1.900000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 1.049144119271120876e-02 1.049144119271120876e-02 5.700000000000000000e+01 2.076502732240437243e-02 1.049144119271120876e-02
1.270000000000000000e+02 1.000000000000000000e+00 9.300000000000000000e+01 6.529562982005140959e-02 6.529562982005140959e-02 1.160000000000000000e+02 1.225868725868725917e-01 6.529562982005140959e-02
1.420000000000000000e+02 1.000000000000000000e+00 9.300000000000000000e+01 6.833493743984600521e-02 6.833493743984600521e-02 1.150000000000000000e+02 1.279279279279279258e-01 6.833493743984600521e-02
1.620000000000000000e+02 1.000000000000000000e+00 9.300000000000000000e+01 6.792452830188679125e-02 6.792452830188679125e-02 1.620000000000000000e+02 1.272084805653710127e-01 6.792452830188679125e-02
1.440000000000000000e+02 1.000000000000000000e+00 9.300000000000000000e+01 4.426683061789117579e-02 4.426683061789117579e-02 1.330000000000000000e+02 8.478068884309684916e-02 4.426683061789117579e-02
3.790000000000000000e+02 1.000000000000000000e+00 9.300000000000000000e+01 1.013911182450508291e-01 1.013911182450508291e-01 1.380000000000000000e+02 1.841146465873208515e-01 1.013911182450508291e-01
1.840000000000000000e+02 9.945652173913043237e-01 9.300000000000000000e+01 7.624999999999999833e-02 7.621824239900042153e-02 1.460000000000000000e+02 1.416408668730650133e-01 7.621824239900042153e-02
5.400000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 3.366583541147132042e-02 3.366583541147132042e-02 1.440000000000000000e+02 6.513872135102533045e-02 3.366583541147132042e-02
1.850000000000000000e+02 1.000000000000000000e+00 9.300000000000000000e+01 6.283967391304347283e-02 6.283967391304347283e-02 1.980000000000000000e+02 1.182486417385746197e-01 6.283967391304347283e-02
1.320000000000000000e+02 1.000000000000000000e+00 9.300000000000000000e+01 6.055045871559633364e-02 6.055045871559633364e-02 1.970000000000000000e+02 1.141868512110726652e-01 6.055045871559633364e-02
2.800000000000000000e+02 1.000000000000000000e+00 9.300000000000000000e+01 9.540034071550256012e-02 9.540034071550256012e-02 2.070000000000000000e+02 1.741835147744945633e-01 9.540034071550256012e-02
2.390000000000000000e+02 1.000000000000000000e+00 9.300000000000000000e+01 8.631274828457927151e-02 8.631274828457927151e-02 2.120000000000000000e+02 1.589095744680850963e-01 8.631274828457927151e-02
