# truecount	recall	nodecounts	precision	adjaccuracy	truenodecounts	f1score	accuracy
2.100000000000000000e+01 5.238095238095238360e-01 9.300000000000000000e+01 5.500000000000000444e-01 1.166489925768822954e-02 8.700000000000000000e+01 5.365853658536585691e-01 1.166489925768822954e-02
2.600000000000000000e+01 7.307692307692307265e-01 9.300000000000000000e+01 6.129032258064516236e-01 1.503164556962025347e-02 9.300000000000000000e+01 6.666666666666666297e-01 1.503164556962025347e-02
2.300000000000000000e+01 8.260869565217391353e-01 9.300000000000000000e+01 7.600000000000000089e-01 3.368794326241134757e-02 8.600000000000000000e+01 7.916666666666666297e-01 3.368794326241134757e-02
6.500000000000000000e+01 4.307692307692307931e-01 9.300000000000000000e+01 5.185185185185184897e-01 1.244444444444444374e-02 8.300000000000000000e+01 4.705882352941176405e-01 1.244444444444444374e-02
3.100000000000000000e+01 5.161290322580645018e-01 9.300000000000000000e+01 8.888888888888888395e-01 1.248049921996879918e-02 7.800000000000000000e+01 6.530612244897958663e-01 1.248049921996879918e-02
2.500000000000000000e+01 7.199999999999999734e-01 9.300000000000000000e+01 9.473684210526315264e-01 1.372997711670480465e-02 1.010000000000000000e+02 8.181818181818182323e-01 1.372997711670480465e-02
8.900000000000000000e+01 4.606741573033708015e-01 9.300000000000000000e+01 5.124999999999999556e-01 2.219815917704385383e-02 1.010000000000000000e+02 4.852071005917159563e-01 2.219815917704385383e-02
1.000000000000000000e+01 6.999999999999999556e-01 9.300000000000000000e+01 6.363636363636363535e-01 5.460218408736349643e-03 8.400000000000000000e+01 6.666666666666666297e-01 5.460218408736349643e-03
4.400000000000000000e+01 1.136363636363636326e-01 9.300000000000000000e+01 2.631578947368420907e-01 2.922267679719462233e-03 8.900000000000000000e+01 1.587301587301587213e-01 2.922267679719462233e-03
4.900000000000000000e+01 4.489795918367346927e-01 9.300000000000000000e+01 5.238095238095238360e-01 2.182539682539682419e-02 1.040000000000000000e+02 4.835164835164835195e-01 2.182539682539682419e-02
1.250000000000000000e+02 5.040000000000000036e-01 9.300000000000000000e+01 5.250000000000000222e-01 2.576687116564417221e-02 1.130000000000000000e+02 5.142857142857142350e-01 2.576687116564417221e-02
3.100000000000000000e+01 4.838709677419354982e-01 9.300000000000000000e+01 1.000000000000000000e+00 9.351620947630923109e-03 1.200000000000000000e+02 6.521739130434782705e-01 9.351620947630923109e-03
1.900000000000000000e+01 3.684210526315789269e-01 9.300000000000000000e+01 2.916666666666666852e-01 3.865267807840971990e-03 5.700000000000000000e+01 3.255813953488372325e-01 3.865267807840971990e-03
1.270000000000000000e+02 6.614173228346457156e-01 9.300000000000000000e+01 5.350318471337579540e-01 4.318766066838046480e-02 1.160000000000000000e+02 5.915492957746478764e-01 4.318766066838046480e-02
1.420000000000000000e+02 5.492957746478873693e-01 9.300000000000000000e+01 6.902654867256636795e-01 3.753609239653513119e-02 1.150000000000000000e+02 6.117647058823529882e-01 3.753609239653513119e-02
1.620000000000000000e+02 5.061728395061728669e-01 9.300000000000000000e+01 6.833333333333333481e-01 3.438155136268343515e-02 1.620000000000000000e+02 5.815602836879432136e-01 3.438155136268343515e-02
1.440000000000000000e+02 4.444444444444444198e-01 9.300000000000000000e+01 3.950617283950617065e-01 1.967414694128496663e-02 1.330000000000000000e+02 4.183006535947712545e-01 1.967414694128496663e-02
3.790000000000000000e+02 7.994722955145118215e-01 9.300000000000000000e+01 8.233695652173913526e-01 8.105939004815408688e-02 1.380000000000000000e+02 8.112449799196786993e-01 8.105939004815408688e-02
1.830000000000000000e+02 5.191256830601093109e-01 9.300000000000000000e+01 6.012658227848101111e-01 3.958333333333333148e-02 1.460000000000000000e+02 5.571847507331377791e-01 3.958333333333333148e-02
5.400000000000000000e+01 2.037037037037036924e-01 9.300000000000000000e+01 6.470588235294117974e-01 6.857855361596009586e-03 1.440000000000000000e+02 3.098591549295774406e-01 6.857855361596009586e-03
1.850000000000000000e+02 5.621621621621621934e-01 9.300000000000000000e+01 6.190476190476190688e-01 3.532608695652173642e-02 1.980000000000000000e+02 5.892351274787535065e-01 3.532608695652173642e-02
1.320000000000000000e+02 2.727272727272727071e-01 9.300000000000000000e+01 7.346938775510204467e-01 1.651376146788990917e-02 1.970000000000000000e+02 3.977900552486187680e-01 1.651376146788990917e-02
2.800000000000000000e+02 4.107142857142856984e-01 9.300000000000000000e+01 6.388888888888888395e-01 3.918228279386712365e-02 2.070000000000000000e+02 5.000000000000000000e-01 3.918228279386712365e-02
2.390000000000000000e+02 5.899581589958159400e-01 9.300000000000000000e+01 7.121212121212121549e-01 5.092091007583965379e-02 2.120000000000000000e+02 6.453089244851258899e-01 5.092091007583965379e-02
9.600000000000000000e+01 3.750000000000000000e-01 9.300000000000000000e+01 4.675324675324675217e-01 1.828339258506856205e-02 1.740000000000000000e+02 4.161849710982659101e-01 1.828339258506856205e-02
3.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 6.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 5.999999999999999778e-01 4.285714285714285476e-01 1.900000000000000000e+01 7.500000000000000000e-01 4.285714285714285476e-01
3.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 6.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.800000000000000000e+01 6.785714285714286031e-01 9.300000000000000000e+01 7.307692307692307265e-01 7.615230460921843837e-03 5.500000000000000000e+01 7.037037037037037202e-01 7.615230460921843837e-03
2.900000000000000000e+01 7.931034482758620996e-01 9.300000000000000000e+01 1.000000000000000000e+00 1.101005265677357584e-02 9.300000000000000000e+01 8.846153846153845812e-01 1.101005265677357584e-02
2.700000000000000000e+01 8.148148148148147696e-01 9.300000000000000000e+01 9.166666666666666297e-01 1.940035273368606594e-02 9.900000000000000000e+01 8.627450980392157298e-01 1.940035273368606594e-02
