# truecount	recall	nodecounts	precision	adjaccuracy	truenodecounts	blocks	f1score	accuracy
8.000000000000000000e+01 2.874999999999999778e-01 7.300000000000000000e+01 8.846153846153845812e-01 2.323232323232323204e-01 7.300000000000000000e+01 1.000000000000000000e+02 4.339622641509434109e-01 2.323232323232323204e-01
2.800000000000000000e+01 8.214285714285713969e-01 7.300000000000000000e+01 9.583333333333333703e-01 7.419354838709677491e-01 2.200000000000000000e+01 1.000000000000000000e+02 8.846153846153845812e-01 7.419354838709677491e-01
4.200000000000000000e+01 7.619047619047618625e-01 7.300000000000000000e+01 9.411764705882352811e-01 6.666666666666666297e-01 3.200000000000000000e+01 1.000000000000000000e+02 8.421052631578946901e-01 6.666666666666666297e-01
9.500000000000000000e+01 3.684210526315789269e-01 7.300000000000000000e+01 2.108433734939759163e-01 1.535087719298245668e-01 8.100000000000000000e+01 1.000000000000000000e+02 2.681992337164750828e-01 1.535087719298245668e-01
3.600000000000000000e+01 1.000000000000000000e+00 7.300000000000000000e+01 1.000000000000000000e+00 9.000000000000000222e-01 2.800000000000000000e+01 1.000000000000000000e+02 1.000000000000000000e+00 9.000000000000000222e-01
6.400000000000000000e+01 4.531250000000000000e-01 7.300000000000000000e+01 4.531250000000000000e-01 2.761904761904762085e-01 5.300000000000000000e+01 1.000000000000000000e+02 4.531250000000000000e-01 2.761904761904762085e-01
4.400000000000000000e+01 8.409090909090909394e-01 7.300000000000000000e+01 9.736842105263158187e-01 7.551020408163264808e-01 3.400000000000000000e+01 1.000000000000000000e+02 9.024390243902439268e-01 7.551020408163264808e-01
4.600000000000000000e+01 8.695652173913043237e-01 7.300000000000000000e+01 7.272727272727272929e-01 6.557377049180327377e-01 3.300000000000000000e+01 1.000000000000000000e+02 7.920792079207921166e-01 6.557377049180327377e-01
5.000000000000000000e+01 8.000000000000000444e-01 7.300000000000000000e+01 9.523809523809523281e-01 6.896551724137931494e-01 4.100000000000000000e+01 1.000000000000000000e+02 8.695652173913043237e-01 6.896551724137931494e-01
8.500000000000000000e+01 4.705882352941176405e-01 7.300000000000000000e+01 9.090909090909090606e-01 3.100775193798449569e-01 8.800000000000000000e+01 1.000000000000000000e+02 6.201550387596899139e-01 3.100775193798449569e-01
5.100000000000000000e+01 8.627450980392157298e-01 7.300000000000000000e+01 1.116751269035533012e-01 1.055155875299760154e-01 4.200000000000000000e+01 1.000000000000000000e+02 1.977528089887640450e-01 1.055155875299760154e-01
6.100000000000000000e+01 6.721311475409835756e-01 7.300000000000000000e+01 3.565217391304347783e-01 2.949640287769784153e-01 4.700000000000000000e+01 1.000000000000000000e+02 4.659090909090908839e-01 2.949640287769784153e-01
1.120000000000000000e+02 4.285714285714285476e-01 7.300000000000000000e+01 5.676442762535477762e-03 5.629838142153413029e-03 8.800000000000000000e+01 1.000000000000000000e+02 1.120448179271708693e-02 5.629838142153413029e-03
4.200000000000000000e+01 1.000000000000000000e+00 7.300000000000000000e+01 1.000000000000000000e+00 7.500000000000000000e-01 3.300000000000000000e+01 1.000000000000000000e+02 1.000000000000000000e+00 7.500000000000000000e-01
1.260000000000000000e+02 3.571428571428571508e-01 7.300000000000000000e+01 1.525423728813559421e-01 1.113861386138613879e-01 1.160000000000000000e+02 1.000000000000000000e+02 2.137767220902612730e-01 1.113861386138613879e-01
