# truecount	recall	nodecounts	precision	adjaccuracy	truenodecounts	blocks	f1score	accuracy
1.000000000000000000e+01 2.000000000000000111e-01 7.300000000000000000e+01 5.000000000000000000e-01 1.666666666666666574e-01 7.300000000000000000e+01 1.000000000000000000e+02 2.857142857142856984e-01 1.666666666666666574e-01
7.000000000000000000e+00 5.714285714285713969e-01 2.200000000000000000e+01 6.666666666666666297e-01 4.444444444444444198e-01 2.200000000000000000e+01 1.000000000000000000e+02 6.153846153846154188e-01 4.444444444444444198e-01
1.000000000000000000e+01 5.999999999999999778e-01 3.200000000000000000e+01 7.500000000000000000e-01 5.000000000000000000e-01 3.200000000000000000e+01 1.000000000000000000e+02 6.666666666666666297e-01 5.000000000000000000e-01
9.000000000000000000e+00 6.666666666666666297e-01 8.500000000000000000e+01 5.454545454545454281e-02 5.309734513274336209e-02 8.100000000000000000e+01 1.000000000000000000e+02 1.008403361344537841e-01 5.309734513274336209e-02
1.000000000000000000e+01 6.999999999999999556e-01 2.800000000000000000e+01 8.750000000000000000e-01 6.363636363636363535e-01 2.800000000000000000e+01 1.000000000000000000e+02 7.777777777777777901e-01 6.363636363636363535e-01
1.000000000000000000e+01 5.999999999999999778e-01 5.300000000000000000e+01 3.750000000000000000e-01 2.999999999999999889e-01 5.300000000000000000e+01 1.000000000000000000e+02 4.615384615384615641e-01 2.999999999999999889e-01
1.100000000000000000e+01 5.454545454545454142e-01 3.400000000000000000e+01 6.666666666666666297e-01 4.285714285714285476e-01 3.400000000000000000e+01 1.000000000000000000e+02 5.999999999999999778e-01 4.285714285714285476e-01
1.100000000000000000e+01 8.181818181818182323e-01 3.300000000000000000e+01 4.285714285714285476e-01 3.913043478260869734e-01 3.300000000000000000e+01 1.000000000000000000e+02 5.625000000000000000e-01 3.913043478260869734e-01
1.200000000000000000e+01 5.000000000000000000e-01 4.100000000000000000e+01 6.666666666666666297e-01 4.000000000000000222e-01 4.100000000000000000e+01 1.000000000000000000e+02 5.714285714285713969e-01 4.000000000000000222e-01
1.200000000000000000e+01 5.000000000000000000e-01 8.800000000000000000e+01 6.666666666666666297e-01 4.000000000000000222e-01 8.800000000000000000e+01 1.000000000000000000e+02 5.714285714285713969e-01 4.000000000000000222e-01
1.500000000000000000e+01 2.666666666666666630e-01 4.200000000000000000e+01 2.500000000000000139e-02 2.339181286549707472e-02 4.200000000000000000e+01 1.000000000000000000e+02 4.571428571428571425e-02 2.339181286549707472e-02
1.200000000000000000e+01 3.333333333333333148e-01 4.700000000000000000e+01 7.407407407407406996e-02 6.451612903225806273e-02 4.700000000000000000e+01 1.000000000000000000e+02 1.212121212121212155e-01 6.451612903225806273e-02
1.400000000000000000e+01 4.285714285714285476e-01 8.900000000000000000e+01 1.004520341536916219e-03 1.003176726299949808e-03 8.800000000000000000e+01 1.000000000000000000e+02 2.004342742608986126e-03 1.003176726299949808e-03
